timestamp,server_id,device_id,connection,slave_id,point_name,address,register,unit,value
2025-09-29T14:49:32.040109+08:00,plc_server_1,device_001,0.0.0.0:1502,1,temperature,1,holding,,22
2025-09-29T14:49:32.040106+08:00,plc_server_2,device_004,0.0.0.0:1503,1,temperature,1,holding,,23
2025-09-29T14:49:32.040183+08:00,plc_server_2,device_005,0.0.0.0:1503,1,temperature,1,holding,,23
2025-09-29T14:49:32.040243+08:00,plc_server_1,device_001,0.0.0.0:1502,1,humidity,0,input,,58
2025-09-29T14:49:32.040247+08:00,plc_server_2,device_004,0.0.0.0:1503,1,humidity,0,input,,60
2025-09-29T14:49:32.040259+08:00,plc_server_2,device_005,0.0.0.0:1503,1,humidity,0,input,,60
2025-09-29T14:49:32.040324+08:00,plc_server_1,device_001,0.0.0.0:1502,1,pump,5,coil,,1
2025-09-29T14:49:32.040349+08:00,plc_server_2,device_004,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:32.040378+08:00,plc_server_1,device_001,0.0.0.0:1502,1,alarm,2,discrete,,0
2025-09-29T14:49:32.040407+08:00,plc_server_2,device_004,0.0.0.0:1503,1,alarm,2,discrete,,1
2025-09-29T14:49:32.040355+08:00,plc_server_2,device_005,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:32.040469+08:00,plc_server_2,device_005,0.0.0.0:1503,1,alarm,2,discrete,,1
2025-09-29T14:49:37.040514+08:00,plc_server_1,device_001,0.0.0.0:1502,1,temperature,1,holding,,23
2025-09-29T14:49:37.040533+08:00,plc_server_2,device_004,0.0.0.0:1503,1,temperature,1,holding,,25
2025-09-29T14:49:37.040489+08:00,plc_server_2,device_005,0.0.0.0:1503,1,temperature,1,holding,,25
2025-09-29T14:49:37.040732+08:00,plc_server_1,device_001,0.0.0.0:1502,1,humidity,0,input,,60
2025-09-29T14:49:37.040765+08:00,plc_server_2,device_004,0.0.0.0:1503,1,humidity,0,input,,56
2025-09-29T14:49:37.040776+08:00,plc_server_2,device_005,0.0.0.0:1503,1,humidity,0,input,,56
2025-09-29T14:49:37.040865+08:00,plc_server_1,device_001,0.0.0.0:1502,1,pump,5,coil,,1
2025-09-29T14:49:37.040931+08:00,plc_server_2,device_005,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:37.040906+08:00,plc_server_2,device_004,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:37.041008+08:00,plc_server_1,device_001,0.0.0.0:1502,1,alarm,2,discrete,,1
2025-09-29T14:49:37.041018+08:00,plc_server_2,device_005,0.0.0.0:1503,1,alarm,2,discrete,,0
2025-09-29T14:49:37.041051+08:00,plc_server_2,device_004,0.0.0.0:1503,1,alarm,2,discrete,,0
2025-09-29T14:49:42.041161+08:00,plc_server_1,device_001,0.0.0.0:1502,1,temperature,1,holding,,24
2025-09-29T14:49:42.041219+08:00,plc_server_2,device_004,0.0.0.0:1503,1,temperature,1,holding,,22
2025-09-29T14:49:42.041202+08:00,plc_server_2,device_005,0.0.0.0:1503,1,temperature,1,holding,,22
2025-09-29T14:49:42.041374+08:00,plc_server_2,device_004,0.0.0.0:1503,1,humidity,0,input,,58
2025-09-29T14:49:42.041419+08:00,plc_server_2,device_005,0.0.0.0:1503,1,humidity,0,input,,58
2025-09-29T14:49:42.041392+08:00,plc_server_1,device_001,0.0.0.0:1502,1,humidity,0,input,,57
2025-09-29T14:49:42.041521+08:00,plc_server_2,device_004,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:42.041527+08:00,plc_server_2,device_005,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:42.041599+08:00,plc_server_1,device_001,0.0.0.0:1502,1,pump,5,coil,,0
2025-09-29T14:49:42.04166+08:00,plc_server_2,device_004,0.0.0.0:1503,1,alarm,2,discrete,,0
2025-09-29T14:49:42.041715+08:00,plc_server_1,device_001,0.0.0.0:1502,1,alarm,2,discrete,,0
2025-09-29T14:49:42.041683+08:00,plc_server_2,device_005,0.0.0.0:1503,1,alarm,2,discrete,,0
2025-09-29T14:49:47.040602+08:00,plc_server_2,device_004,0.0.0.0:1503,1,temperature,1,holding,,23
2025-09-29T14:49:47.040584+08:00,plc_server_2,device_005,0.0.0.0:1503,1,temperature,1,holding,,23
2025-09-29T14:49:47.040562+08:00,plc_server_1,device_001,0.0.0.0:1502,1,temperature,1,holding,,25
2025-09-29T14:49:47.040752+08:00,plc_server_2,device_004,0.0.0.0:1503,1,humidity,0,input,,60
2025-09-29T14:49:47.040809+08:00,plc_server_2,device_005,0.0.0.0:1503,1,humidity,0,input,,60
2025-09-29T14:49:47.040823+08:00,plc_server_1,device_001,0.0.0.0:1502,1,humidity,0,input,,56
2025-09-29T14:49:47.040845+08:00,plc_server_2,device_004,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:47.040891+08:00,plc_server_2,device_005,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:47.040963+08:00,plc_server_1,device_001,0.0.0.0:1502,1,pump,5,coil,,1
2025-09-29T14:49:47.041014+08:00,plc_server_2,device_005,0.0.0.0:1503,1,alarm,2,discrete,,1
2025-09-29T14:49:47.040968+08:00,plc_server_2,device_004,0.0.0.0:1503,1,alarm,2,discrete,,1
2025-09-29T14:49:47.041111+08:00,plc_server_1,device_001,0.0.0.0:1502,1,alarm,2,discrete,,0
2025-09-29T14:49:52.040553+08:00,plc_server_2,device_005,0.0.0.0:1503,1,temperature,1,holding,,25
2025-09-29T14:49:52.040585+08:00,plc_server_2,device_004,0.0.0.0:1503,1,temperature,1,holding,,25
2025-09-29T14:49:52.04058+08:00,plc_server_1,device_001,0.0.0.0:1502,1,temperature,1,holding,,21
2025-09-29T14:49:52.040737+08:00,plc_server_2,device_005,0.0.0.0:1503,1,humidity,0,input,,56
2025-09-29T14:49:52.040781+08:00,plc_server_1,device_001,0.0.0.0:1502,1,humidity,0,input,,55
2025-09-29T14:49:52.040765+08:00,plc_server_2,device_004,0.0.0.0:1503,1,humidity,0,input,,56
2025-09-29T14:49:52.040862+08:00,plc_server_2,device_005,0.0.0.0:1503,1,pump,5,coil,,1
2025-09-29T14:49:52.040903+08:00,plc_server_1,device_001,0.0.0.0:1502,1,pump,5,coil,,0
2025-09-29T14:49:52.040944+08:00,plc_server_2,device_004,0.0.0.0:1503,1,pump,5,coil,,1
